"","company","market","TSE_code","TSE_name","year","ETR","CETR","STR","HHI","STR_HHI","ROA","SIZE","LEV","INTANG","QUICK","EQINC","OUTINSTI","RELATIN","RELATOUT","FAM_Dum"
"3786","1784 訊聯","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,-0.082597082391617,11.7023928064201,0.173173070337648,0,592.63,-0.00124420701778417,0,0,0,NA
"3787","1786 科妍","TSE","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.0291222749181389,11.7023928064201,0.0488252021948696,0,1395.4715,0,0,0,0,NA
"3788","1788 杏昌","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.0285790247137569,13.436528653503,0.69684672445578,0,87.8,0.0179955533351447,0,0,0,NA
"3789","1789 神隆","TSE","M1722","生技醫療",2001,NA,NA,5,NA,NA,-0.129610918386943,15.3286014332432,0.756767613413132,0.0765568373817154,11.63,-0.00245069970912256,0,0,0,NA
"3790","1795 美時","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.0512111593718677,12.3860581425266,0.51865603073839,0.0323003675242232,96.28,0,0,0,0,NA
"3791","1799 易威","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,-0.16929933697655,11.7023928064201,0.351103201726066,0.00669322960139849,19.05,-0.0302582359447243,0,0,0,NA
"3792","1813 寶利徠","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.0705961267302671,13.2525017703101,0.630667980115647,0,92.4,0.00136085957158385,0,0,7,0
"3793","3118 進階","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.00283104839250057,12.6064448065723,0.259066055562256,0,285.51,0,4.93,0,14,1
"3794","3164 景岳","TSE","M1722","生技醫療",2001,NA,NA,5,NA,NA,-0.0495152243238424,12.7429080628032,0.0488252021948696,0.0989193755352701,1395.4715,-0.0041886255286934,0,0,0,0
"3795","3176 基亞","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,-0.0705008106016076,13.8141506336863,0.0488252021948696,0.194761530892792,1395.4715,0,0,0,0,1
"3796","3205 佰研","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,-0.267151219595083,12.3690669620136,0.0488252021948696,0.194761530892792,1009.62,-0.00134236170700832,0,0,0,1
"3797","3218 大學光","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.152781867873546,12.1733273217171,0.190760344498003,0,114.53,0.0227374881817759,0,0,0,NA
"3798","4102 永日","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.0552520501792985,13.2645796966353,0.15757451688286,3.81670781193346e-05,221.46,-0.0293452784722066,0,32,28,1
"3799","4103 百略","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.264917179896343,14.4142635390818,0.357163345510174,0.016426097124595,137.75,-0.00151661017843248,55.92,79,45,1
"3800","4104 佳醫","TSE","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.141568553140611,14.3971668035192,0.335838644962909,0,138.95,0.032887665113284,62.1,0,0,0
"3801","4105 東洋","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.117166669894576,13.7422880398343,0.541970359180283,0.0244966074668009,115.24,0.00735210255284626,7.89,0,0,1
"3802","4106 雃博","TSE","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.167324225216088,13.069445606374,0.248318850175759,0.000818170124560075,284.46,-0.00982015018060895,55.04,6,1,0
"3803","4107 邦特","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.068257781192132,13.4555559561078,0.407704942468769,0,182.86,0,16.08,0,11,1
"3804","4108 懷特","TSE","M1722","生技醫療",2001,NA,NA,5,NA,NA,-0.180704504851739,12.165214192012,0.0488252021948696,0,1395.4715,0,0,0,0,1
"3805","4109 穆拉德","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.0829213011542497,12.7865409296246,0.333932144106331,0,146.21,-0.000103532703742567,0,27,0,1
